	#node1	node2
107	DNMT3B	EZH2
108	RBBP4	DNMT3B
109	RBBP7	DNMT3B
110	RBBP4	EZH2
111	HDAC2	DNMT3B
112	HDAC1	DNMT3B
113	DNMT3B	DNMT3L
114	DNMT3L	DNMT3A
115	DNMT3B	DNMT3A
116	DNMT1	SMARCA5
117	H2AFX	DNMT1
118	DNMT1	DNMT3B
119	EZH2	DNMT3A
120	DNMT1	DNMT3A
121	DNMT3B	SMARCA5
122	H2AFX	SMARCA5
123	H2AFX	EZH2
124	RBBP4	DNMT1
125	H2AFX	HDAC1
126	HDAC2	H2AFX
127	RBBP7	DNMT3A
128	RBBP4	DNMT3A
129	RBBP7	H2AFX
130	H2AFX	RBBP4
131	RBBP7	DNMT1
132	H2AFX	DNMT3L
133	COL1A2	COL1A1
134	COL3A1	COL1A2
135	COL3A1	COL1A1
136	COL1A2	LUM
137	COL5A2	COL3A1
138	COL5A2	COL1A2
139	COL5A2	COL1A1
140	COL3A1	LUM
141	LUM	COL1A1
142	COL5A2	LUM
143	POSTN	COL3A1
144	COL3A1	CDH11
145	POSTN	COL5A2
146	POSTN	COL1A2
147	COL1A2	CDH11
148	COL1A2	FAP
149	COL5A2	FAP
150	COL5A2	CDH11
151	POSTN	CDH11
152	HUWE1	FAP
153	SH3KBP1	FAP
154	POSTN	COL1A1
155	COL1A1	FAP
156	POSTN	FAP
157	POSTN	LUM
158	CORO1C	FAP
159	LUM	FAP
160	COL3A1	FAP
161	CDH11	FAP
162	CDH11	COL1A1
163	SH3KBP1	HUWE1
164	JUN	FOS
165	FOS	JUNB
166	FOS	JUND
167	ATF2	JUND
168	JUN	ATF2
169	JUNB	ATF2
170	JUND	FOSB
171	JUNB	FOSB
172	JUN	FOSB
173	FOS	ATF2
174	FOS	FOSB
175	MAPK9	JUN
176	MAPK9	JUND
177	CEBPA	FOS
178	ATF2	MAPK1
179	FOS	MAPK1
180	MAPK9	ATF2
181	JUN	JUNB
182	JUN	ESR1
183	JUN	MAPK1
184	FOS	CREM
185	MAPK1	ESR1
186	FOS	ESR1
187	MAPK9	FOS
188	CEBPA	JUN
189	JUN	JUND
190	JUNB	JUND
191	JUN	CREM
192	ATF2	ESR1
193	CREM	ATF2
194	MAPK9	JUNB
195	JUND	MAPK1
196	B3GNT3	FUT3
197	FUT2	FUT3
198	FUT2	B3GNT3
199	FUT2	FUT5
200	B3GNT3	FUT5
201	FUT2	FUT6
202	FUT2	GBGT1
203	FUT2	B4GALT3
204	B4GALT1	FUT6
205	B4GALT3	FUT3
206	FUT2	B4GALT4
207	FUT4	B4GALT3
208	FUT4	B4GALT2
209	FUT2	FUT4
210	B4GALT2	FUT3
211	FUT2	B4GALT2
212	FUT4	B3GNT3
213	FUT2	B4GALT1
214	B4GALT1	FUT3
215	B3GNT3	FUT6
216	B4GALT1	FUT4
217	B4GALT1	FUT5
218	B4GALT3	FUT6
219	B4GALT2	FUT5
220	B4GALT3	FUT5
221	B4GALT2	FUT6
222	B4GALT4	B3GNT3
223	GBGT1	FUT4
224	FUT4	FUT6
225	B3GNT3	B4GALT2
226	GBGT1	FUT6
227	B4GALT4	FUT3
228	B4GALT4	FUT6
229	FUT4	FUT3
230	GBGT1	FUT5
231	B3GNT3	B4GALT3
232	FUT4	FUT5
233	GBGT1	FUT3
234	B4GALT1	B3GNT3
235	B4GALT4	FUT5
236	B4GALT4	FUT4
237	FUT3	FUT5
238	FUT3	FUT6
239	FUT6	FUT5
240	B4GALT1	B4GALT2
241	B4GALT4	B4GALT3
242	B4GALT3	B4GALT2
243	B4GALT1	B4GALT3
244	B4GALT1	B4GALT4
245	GPR35	KTI12
246	ATG12	ATG5
247	MAVS	DDX58
248	DDX58	IFIH1
249	DDX58	IRF7
250	DDX58	UBE2L6
251	IRF7	IFIH1
252	MAVS	IFIH1
253	IKBKE	IFIH1
254	UBE2L6	IFIH1
255	DDX58	IKBKE
256	MAVS	IKBKE
257	DAK	IFIH1
258	DDX58	NLRC5
259	IFIH1	NLRC5
260	MAVS	IRF7
261	IKBKE	IRF7
262	PCBP2	IFIH1
263	ATG12	IFIH1
264	ATG12	DDX58
265	DDX58	ATG5
266	ATG5	IFIH1
267	ATG12	MAVS
268	MAVS	PCBP2
269	MAVS	ATG5
270	DDX58	PCBP2
271	MAVS	NLRC5
272	MAVS	DAK
273	DAK	DDX58
274	IRF7	UBE2L6
275	JAK2	STAT3
276	IL12B	IL23A
277	IL12RB1	IL12B
278	IL23R	IL12B
279	RELA	IL12B
280	IL23R	IL23A
281	IL12RB1	IL23R
282	IL23R	STAT3
283	IL12RB1	IL23A
284	JAK2	IL23R
285	RELA	JAK2
286	IL12RB1	STAT3
287	CXCL9	IL12B
288	IL12RB1	CD3E
289	IL12RB1	JAK2
290	IL24	IL23R
291	JAK2	CD3E
292	JAK2	CXCL9
293	JAK2	IL23A
294	CXCL9	IL23R
295	STAT3	IL12B
296	JAK2	IL12B
297	IL12RB1	RELA
298	CXCL1	IL23A
299	CD3E	IL23R
300	STAT3	IL23A
301	RELA	IL23R
302	RELA	IL23A
303	CD3E	IL23A
304	IL12RB1	CXCL1
305	CD3E	IL12B
306	CXCL1	IL23R
307	IL12RB1	IL24
308	CXCL9	IL23A
309	IL12RB1	CXCL9
310	IL24	IL12B
311	IL24	IL23A
312	IL24	JAK2
313	CXCL1	IL12B
314	CXCL1	CXCL9
315	CXCL1	JAK2
316	RELA	STAT3
317	STAT1	STAT2
318	JAK2	STAT5A
319	JAK1	STAT5A
320	STAT1	STAT5A
321	JAK2	STAT2
322	JAK2	STAT1
323	JAK1	STAT2
324	STAT5A	TYK2
325	STAT2	TYK2
326	IL27	EBI3
327	STAT1	JAK1
328	STAT1	TYK2
329	JAK1	IL6ST
330	JAK1	IL27RA
331	STAT1	IL6ST
332	STAT1	IL27RA
333	JAK1	TYK2
334	IL27	IL27RA
335	JAK2	IL6ST
336	IL6ST	TYK2
337	IL27RA	EBI3
338	IL27	IL6ST
339	JAK2	STAT4
