	#node1	node2
1068	STAT5A	STAT2
1069	STAT4	STAT5A
1070	IL2RG	IL2
1071	IL2RG	IL2RB
1072	IL2	IL2RB
1073	IL2RA	IL2RB
1074	IL2RA	IL2
1075	NFATC2	FOXP3
1076	IL2RA	IL2RG
1077	STAT5A	STAT3
1078	GZMB	IL2RB
1079	STAT5B	STAT3
1080	FOXP3	IL2
1081	STAT5A	STAT5B
1082	NFATC2	IL2
1083	IL2RA	STAT5A
1084	IL2RA	STAT5B
1085	NFATC1	IL2
1086	STAT3	IL2RB
1087	IL2RA	STAT3
1088	STAT5B	IL2RB
1089	STAT5A	IL2RB
1090	IL2RG	STAT5A
1091	IL2RA	FOXP3
1092	NFATC2	NFATC1
1093	NFATC2	IL2RA
1094	IL2RA	NFATC1
1095	IL2RA	GZMB
1096	IL2RG	STAT3
1097	IL2RG	STAT5B
1098	STAT3	IL2
1099	IL2RG	GZMB
1100	STAT5B	IL2
1101	STAT5A	IL2
1102	IL2	GZMB
1103	FOXP3	IL2RG
1104	FOXP3	NFATC1
1105	CUL1	RBX1
1106	CUL3	RBX1
1107	CUL2	RBX1
1108	CUL1	FBXW11
1109	BTRC	CUL1
1110	CUL5	RBX1
1111	KLHL2	CUL3
1112	UBC	FBXW11
1113	BTRC	FBXW11
1114	UBC	CUL3
1115	UBC	CUL1
1116	CUL2	UBC
1117	CUL3	KEAP1
1118	CUL1	CUL3
1119	CUL2	KEAP1
1120	BTRC	UBC
1121	CUL5	UBC
1122	CUL2	CUL3
1123	CUL5	CUL3
1124	RBX1	KEAP1
1125	UBC	KEAP1
1126	NFE2L2	KEAP1
1127	BTRC	KEAP1
1128	KLHL2	KEAP1
1129	BTRC	RBX1
1130	FBXW11	RBX1
1131	CUL5	KEAP1
1132	KLHL2	CUL1
1133	CUL1	KEAP1
1134	KLHL2	CUL5
1135	CUL2	KLHL2
1136	FBXW11	KEAP1
1137	CUL2	FBXW11
1138	CUL5	BTRC
1139	BTRC	CUL3
1140	CUL5	FBXW11
1141	CUL2	BTRC
1142	FBXW11	CUL3
1143	UBC	RBX1
1144	CUL2	CUL1
1145	CUL2	CUL5
1146	KLHL2	BTRC
1147	KLHL2	UBC
1148	CUL5	CUL1
1149	KLHL2	RBX1
1150	KLHL2	FBXW11
1151	RELA	NFKBIA
1152	NFKB1	NFKBIA
1153	IKBKB	NFKB1
1154	RELA	NFKB1
1155	NFKB1	BCL3
1156	CHUK	NFKBIA
1157	REL	NFKBIA
1158	IKBKB	NFKBIA
1159	CHUK	NFKB1
1160	REL	NFKB1
1161	RELA	NFKBIB
1162	NFKB1	RELB
1163	NFKBIB	REL
1164	RELA	REL
1165	NFKBIB	NFKB1
1166	IKBKB	RELA
1167	RELA	CHUK
1168	NFKBIB	NFKBIA
1169	HDAC2	NFKB1
1170	HDAC2	RELA
1171	IKBKB	BIRC3
1172	BIRC3	NFKB1
1173	IKBKB	CHUK
1174	RELA	RELB
1175	RELA	BCL3
1176	CHUK	NFKBIB
1177	IKBKB	NFKBIB
1178	RELA	BIRC3
1179	BIRC3	NFKBIA
1180	CHUK	BIRC3
1181	CHUK	RELB
1182	IKBKB	REL
1183	RELB	NFKBIA
1184	CHUK	REL
1185	REL	RELB
1186	IKBKB	BCL3
1187	CHUK	BCL3
1188	RELB	BCL3
1189	NFKBIA	BCL3
1190	REL	BCL3
1191	HDAC2	BCL3
1192	HDAC2	NFKBIA
1193	CXorf57	NXPE1
1194	NXPE4	NXPE1
1195	CXorf57	MLH1
1196	NXPE1	MLH1
1197	GNB1	GNGT1
1198	GNB1	ADRBK1
1199	GNG7	GNB1
1200	PRKACB	PRKACA
1201	ADRBK2	ADRBK1
1202	GNB1	GNAL
1203	GNG7	ADRBK1
1204	ADRBK1	GNGT1
1205	ARRB1	GNB1
1206	GNAL	GNGT1
1207	GNB1	PRKACB
1208	GNB1	PRKACG
1209	PRKACG	PRKACA
1210	ARRB1	GNGT1
1211	PRKACG	PRKACB
1212	OR5B21	GNAL
1213	OR5B21	GNGT1
1214	PRKACB	GNGT1
1215	GNG7	GNGT1
1216	GNB1	OR5B21
1217	PRKACG	GNGT1
1218	ARRB1	ADRBK1
1219	GNG7	GNAL
1220	GNG7	PRKACB
1221	GNG7	PRKACA
1222	ARRB1	ADRBK2
1223	ARRB1	OR5B21
1224	PRKACB	OR5B21
1225	OR5B21	ADRBK2
1226	OR5B21	PRKACA
1227	OR5B21	ADRBK1
1228	PRKACA	GNGT1
1229	GNG7	PRKACG
1230	GNG7	OR5B21
1231	PRKACG	OR5B21
1232	GNB1	ADRBK2
1233	IL6ST	IL6
1234	IL6ST	OSM
1235	OSMR	OSM
1236	JAK1	IL6ST
1237	IL6ST	OSMR
1238	JAK3	JAK1
1239	JAK1	TYK2
1240	JAK2	OSMR
1241	JAK1	OSMR
1242	JAK3	JAK2
1243	JAK2	IL6ST
1244	JAK3	TYK2
1245	IL6ST	TYK2
1246	JAK2	JAK1
1247	JAK2	IL6
1248	JAK3	IL6
1249	TYK2	IL6
1250	JAK1	IL6
1251	JAK1	OSM
1252	IL31RA	IL31
1253	IL31RA	OSMR
1254	TYK2	OSM
1255	IL31	OSMR
1256	JAK2	TYK2
1257	OSMR	TYK2
1258	JAK2	OSM
1259	JAK3	IL6ST
1260	JAK3	OSMR
1261	OSMR	IL6
1262	JAK3	OSM
1263	IFNE	IL6ST
1264	IFNE	OSMR
1265	JAK1	STAT5B
1266	JAK3	STAT5B
1267	JAK2	STAT5B
1268	JAK1	STAT6
1269	JAK3	STAT5A
1270	STAT5A	STAT3
1271	JAK3	STAT6
1272	JAK2	STAT5A
1273	JAK1	STAT5A
1274	STAT1	STAT3
1275	STAT1	STAT5A
1276	JAK1	STAT3
1277	JAK2	STAT1
1278	JAK2	STAT3
1279	STAT6	TYK2
1280	JAK2	STAT6
1281	JAK3	STAT3
1282	STAT5A	TYK2
1283	STAT5B	TYK2
1284	STAT5B	STAT3
1285	STAT4	STAT3
1286	STAT5A	STAT5B
1287	STAT1	TYK2
1288	STAT1	JAK1
1289	JAK3	JAK1
1290	JAK1	TYK2
1291	JAK3	JAK2
1292	JAK3	TYK2
1293	STAT1	STAT5B
1294	JAK1	PTPN2
1295	JAK2	STAT4
1296	JAK3	PTPN2
1297	STAT4	TYK2
1298	TYK2	STAT3
1299	JAK3	STAT1
1300	JAK2	JAK1
1301	JAK2	TYK2
1302	PTPN2	STAT3
1303	PTPN2	STAT5B
1304	STAT1	PTPN2
1305	PTPN2	STAT6
1306	STAT5A	PTPN2
1307	JAK2	PTPN2
1308	PTPN2	TYK2
1309	STAT4	PTPN2
1310	STAT4	JAK1
1311	STAT6	STAT5B
1312	STAT1	STAT4
1313	STAT5A	STAT6
1314	STAT6	STAT3
1315	JAK3	STAT4
1316	STAT4	STAT5B
1317	STAT1	STAT6
1318	STAT4	STAT6
1319	STAT4	STAT5A
1320	GART	PFAS
1321	CNOT7	CNOT1
1322	PFAS	EIF4H
1323	RAVER1	EIF4H
1324	CNOT7	RAVER1
1325	GART	RAVER1
1326	RAVER1	DDX1
1327	PFAS	RAVER1
1328	SF3B1	RAVER1
1329	CNOT1	RAVER1
1330	SF3B1	EIF4H
1331	DYNLT1	RAVER1
1332	ABCC1	RAVER1
1333	AK2	RAVER1
1334	GART	EIF4H
1335	MTOR	RPTOR
1336	PDPK1	AKT1
1337	MTOR	AKT1
1338	MTOR	RPS6KB1
1339	PDPK1	RPS6KB1
1340	HSP90AA1	AKT1
1341	HSP90AA1	MAPK1
1342	RPS6	RPS6KB1
1343	AKT1	RPS6KB1
1344	HSP90AA1	RPS6KB1
1345	RPTOR	RPS6KB1
1346	RPTOR	AKT1
1347	AKT1	PIK3CA
1348	PIK3CA	RPS6KB1
1349	RPS6KB1	MAPK1
1350	PPP2CA	RPS6KB1
1351	RAC1	AKT1
1352	RAC1	RPS6KB1
1353	PPP2CA	AKT1
1354	PPP2CA	MAPK1
1355	RAC1	PIK3CA
1356	PDPK1	PIK3CA
1357	PDPK1	HSP90AA1
1358	MTOR	PIK3CA
1359	RAC1	MAPK1
1360	PPP2CA	MTOR
1361	PPP2CA	PDPK1
1362	RAC1	HSP90AA1
1363	HSP90AA1	PIK3CA
1364	RAC1	PDPK1
1365	PPP2CA	RPS6
1366	MTOR	HSP90AA1
1367	RPTOR	PIK3CA
1368	RPS6	AKT1
1369	MTOR	PDPK1
1370	PPP2CA	RAC1
1371	RPS6	HSP90AA1
1372	KIT	KITLG
1373	EPO	EPOR
1374	JAK2	SOCS3
1375	JAK2	GRB2
1376	GRB2	KIT
1377	JAK2	SH2B1
1378	JAK2	EPOR
1379	JAK2	KIT
1380	GRB2	EPOR
1381	SOCS3	EPOR
1382	KIT	EPOR
1383	NTRK1	GRB2
1384	SH2B3	KIT
1385	KITLG	EPOR
1386	JAK2	KITLG
1387	KIT	EPO
1388	SH2B3	SOCS3
1389	JAK2	EPO
1390	EPO	KITLG
1391	SOCS3	EPO
1392	SH2B3	EPOR
1393	SH2B3	EPO
1394	JAK2	SH2B3
1395	SH2B3	KITLG
1396	GRB2	EPO
1397	GRB2	KITLG
1398	GRB2	SH2B1
1399	SH2B3	GRB2
1400	NTRK1	SH2B1
1401	NTRK3	GRB2
1402	NTRK3	SH2B3
1403	NTRK1	SH2B3
1404	NTRK3	SH2B1
1405	SH2B3	SH2B1
1406	TNFSF15	TNFRSF6B
1407	TNFSF14	TNFRSF6B
1408	TNFRSF6B	FASLG
1409	IFNAR1	TYK2
1410	STAT1	STAT2
1411	STAT1	STAT5A
1412	PTPN1	TYK2
1413	PIK3R1	TYK2
1414	PTPN6	TYK2
1415	PTPN1	STAT5B
1416	PTPN1	STAT5A
1417	SOCS1	TYK2
1418	STAT6	TYK2
1419	STAT5B	TYK2
1420	STAT5A	TYK2
1421	STAT2	TYK2
1422	STAT2	IFNAR1
1423	STAT1	TYK2
1424	STAT5A	STAT5B
1425	STAT1	IFNAR1
1426	PTPN6	PIK3R1
1427	SOCS1	IFNAR1
1428	PTPN6	IFNAR1
1429	STAT1	STAT5B
1430	PTPN1	STAT2
1431	STAT1	SOCS1
1432	SOCS1	STAT2
1433	SOCS1	STAT6
1434	SOCS1	STAT5B
1435	STAT5A	SOCS1
1436	PTPN6	STAT2
1437	PTPN1	PIK3R1
1438	PTPN1	IFNAR1
1439	STAT2	STAT6
1440	STAT6	STAT5B
1441	STAT5A	STAT6
1442	STAT2	STAT5B
1443	STAT5A	STAT2
1444	STAT1	STAT6
1445	SOCS1	PIK3R1
