	#node1	node2
106	RBBP7	DNMT1
107	H2AFX	DNMT3L
108	COL1A2	COL1A1
109	COL3A1	COL1A2
110	COL3A1	COL1A1
111	COL1A2	LUM
112	COL5A2	COL3A1
113	COL5A2	COL1A2
114	COL5A2	COL1A1
115	COL3A1	LUM
116	LUM	COL1A1
117	COL5A2	LUM
118	POSTN	COL3A1
119	COL3A1	CDH11
120	POSTN	COL5A2
121	POSTN	COL1A2
122	COL1A2	CDH11
123	COL1A2	FAP
124	COL5A2	FAP
125	COL5A2	CDH11
126	POSTN	CDH11
127	HUWE1	FAP
128	SH3KBP1	FAP
129	POSTN	COL1A1
130	COL1A1	FAP
131	POSTN	FAP
132	POSTN	LUM
133	CORO1C	FAP
134	LUM	FAP
135	COL3A1	FAP
136	CDH11	FAP
137	CDH11	COL1A1
138	SH3KBP1	HUWE1
139	JUN	FOS
140	FOS	JUNB
141	FOS	JUND
142	ATF2	JUND
143	JUN	ATF2
144	JUNB	ATF2
145	JUND	FOSB
146	JUNB	FOSB
147	JUN	FOSB
148	FOS	ATF2
149	FOS	FOSB
150	MAPK9	JUN
151	MAPK9	JUND
152	CEBPA	FOS
153	ATF2	MAPK1
154	FOS	MAPK1
155	MAPK9	ATF2
156	JUN	JUNB
157	JUN	ESR1
158	JUN	MAPK1
159	FOS	CREM
160	MAPK1	ESR1
161	FOS	ESR1
162	MAPK9	FOS
163	CEBPA	JUN
164	JUN	JUND
165	JUNB	JUND
166	JUN	CREM
167	ATF2	ESR1
168	CREM	ATF2
169	MAPK9	JUNB
170	JUND	MAPK1
171	B3GNT3	FUT3
172	FUT2	FUT3
173	FUT2	B3GNT3
174	FUT2	FUT5
175	B3GNT3	FUT5
176	FUT2	FUT6
177	FUT2	GBGT1
178	FUT2	B4GALT3
179	B4GALT1	FUT6
180	B4GALT3	FUT3
181	FUT2	B4GALT4
182	FUT4	B4GALT3
183	FUT4	B4GALT2
184	FUT2	FUT4
185	B4GALT2	FUT3
186	FUT2	B4GALT2
187	FUT4	B3GNT3
188	FUT2	B4GALT1
189	B4GALT1	FUT3
190	B3GNT3	FUT6
191	B4GALT1	FUT4
192	B4GALT1	FUT5
193	B4GALT3	FUT6
194	B4GALT2	FUT5
195	B4GALT3	FUT5
196	B4GALT2	FUT6
197	B4GALT4	B3GNT3
198	GBGT1	FUT4
199	FUT4	FUT6
200	B3GNT3	B4GALT2
201	GBGT1	FUT6
202	B4GALT4	FUT3
203	B4GALT4	FUT6
204	FUT4	FUT3
205	GBGT1	FUT5
206	B3GNT3	B4GALT3
207	FUT4	FUT5
208	GBGT1	FUT3
209	B4GALT1	B3GNT3
210	B4GALT4	FUT5
211	B4GALT4	FUT4
212	FUT3	FUT5
213	FUT3	FUT6
214	FUT6	FUT5
215	B4GALT1	B4GALT2
216	B4GALT4	B4GALT3
217	B4GALT3	B4GALT2
218	B4GALT1	B4GALT3
219	B4GALT1	B4GALT4
220	GPR35	KTI12
221	ATG12	ATG5
222	MAVS	DDX58
223	DDX58	IFIH1
224	DDX58	IRF7
225	DDX58	UBE2L6
226	IRF7	IFIH1
227	MAVS	IFIH1
228	IKBKE	IFIH1
229	UBE2L6	IFIH1
230	DDX58	IKBKE
231	MAVS	IKBKE
232	DAK	IFIH1
233	DDX58	NLRC5
234	IFIH1	NLRC5
235	MAVS	IRF7
236	IKBKE	IRF7
237	PCBP2	IFIH1
238	ATG12	IFIH1
239	ATG12	DDX58
240	DDX58	ATG5
241	ATG5	IFIH1
242	ATG12	MAVS
243	MAVS	PCBP2
244	MAVS	ATG5
245	DDX58	PCBP2
246	MAVS	NLRC5
247	MAVS	DAK
248	DAK	DDX58
249	IRF7	UBE2L6
